Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2015,5,10018605,1971017,11989622
2015,6,10447049,2209607,12656656
2015,7,10866964,2404101,13271065
2015,8,10643803,2413456,13057259
2015,9,9310805,1895470,11206275
2015,10,10186485,1754714,11941199
2015,11,9470271,1504002,10974273
2015,12,9131393,1746754,10878147
2015,TOTAL,114904010,22828442,137732452
2016,1,8471686,1839237,10310923
2016,2,8331767,1605056,9936823
2016,3,10207835,1913147,12120982
2016,4,9886117,1869972,11756089
2016,5,10702739,2019100,12721839
2016,6,10801557,2295425,13096982
2016,7,10934957,2466034,13400991
2016,8,10332267,2349012,12681279
2016,9,9712323,1891703,11604026
2016,10,10384814,1741881,12126695
2016,11,9858408,1459191,11317599
2016,12,9373077,1838715,11211792
2016,TOTAL,118997547,23288473,142286020
2017,1,8526218,1870711,10396929
2017,2,8243904,1611400,9855304
2017,3,10589367,2040175,12629542
2017,4,9684786,2061449,11746235
2017,5,10813517,2156252,12969769
2017,6,10968903,2415035,13383938
2017,7,11309402,2559200,13868602
2017,8,11309630,2501763,13811393
2017,9,9416969,1966369,11383338
2017,10,10725324,1863210,12588534
2017,11,9968774,1577424,11546198
2017,12,9178087,1869793,11047880
2017,TOTAL,120734881,24492781,145227662
2018,1,8569504,1905480,10474984
2018,2,8572978,1690663,10263641
2018,3,10898772,2180508,13079280
2018,4,10458858,2065443,12524301
2018,5,11042700,2213437,13256137
2018,6,11433287,2474713,13908000
2018,7,11918888,2622703,14541591
2018,8,11932518,2553639,14486157
2018,9,10028453,2018433,12046886
2018,10,11070334,1943902,13014236
2018,11,10544475,1643676,12188151
2018,12,10002045,1904834,11906879
2018,TOTAL,126472812,25217431,151690243
2019,1,9253432,1931311,11184743
2019,2,8864116,1711387,10575503
2019,3,11737009,2202260,13939269
2019,4,11237133,2141259,13378392
2019,5,12030749,2326737,14357486
2019,6,12517894,2542704,15060598
2019,7,12965327,2634252,15599579
2019,8,12693732,2627388,15321120
2019,9,10963963,2137924,13101887
2019,10,11859504,2055052,13914556
2019,11,10787768,1724144,12511912
2019,12,11302966,2012103,13315069
2019,TOTAL,136213593,26046521,162260114
2020,1,10249349,2059896,12309245
2020,2,9960370,1754317,11714687
