Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2015,7,6451029,2706365,9157394
2015,8,6273013,2546709,8819722
2015,9,5655459,1911328,7566787
2015,10,6329169,1896879,8226048
2015,11,5740177,1869335,7609512
2015,12,5813742,2153949,7967691
2015,TOTAL,69178641,25712986,94891627
2016,1,5055420,2019550,7074970
2016,2,4973238,1781640,6754878
2016,3,5923783,2241984,8165767
2016,4,5729928,2022485,7752413
2016,5,6293618,2175315,8468933
2016,6,6592185,2495365,9087550
2016,7,6767029,2785547,9552576
2016,8,6788195,2501629,9289824
2016,9,6337483,1981344,8318827
2016,10,6790121,1936038,8726159
2016,11,6297085,1836771,8133856
2016,12,6232029,2212170,8444199
2016,TOTAL,73780114,25989838,99769952
2017,1,5577898,2106434,7684332
2017,2,5254113,1743226,6997339
2017,3,6712764,2209138,8921902
2017,4,6478750,2221866,8700616
2017,5,6914319,2224936,9139255
2017,6,7409256,2586805,9996061
2017,7,7680435,2869396,10549831
2017,8,7404363,2555410,9959773
2017,9,6366060,2007345,8373405
2017,10,7100764,1938972,9039736
2017,11,6803531,1927316,8730847
2017,12,6732130,2212607,8944737
2017,TOTAL,80434383,26603451,107037834
2018,1,5765091,2099654,7864745
2018,2,5500603,1818739,7319342
2018,3,6908921,2373740,9282661
2018,4,6997037,2174385,9171422
2018,5,7416877,2222903,9639780
2018,6,7953658,2640872,10594530
2018,7,8359598,2872933,11232531
2018,8,8124419,2605443,10729862
2018,9,6958417,2000431,8958848
2018,10,7660817,2057748,9718565
2018,11,7199379,2051315,9250694
2018,12,7051231,2340358,9391589
2018,TOTAL,85896048,27258521,113154569
2019,1,6073592,2182657,8256249
2019,2,5801648,1893310,7694958
2019,3,7545265,2421434,9966699
2019,4,7345606,2322015,9667621
2019,5,7773445,2438428,10211873
2019,6,8068838,2800297,10869135
2019,7,8341959,2920064,11262023
2019,8,7987309,2744601,10731910
2019,9,6843518,2189668,9033186
2019,10,7542338,2185195,9727533
2019,11,6783563,2157870,8941433
2019,12,7365054,2484469,9849523
2019,TOTAL,87472135,28740008,116212143
2020,1,6411067,2284334,8695401
2020,2,6085155,1863176,7948331
2020,3,3467290,1063399,4530689
2020,4,185491,35529,221020
2020,5,396780,54538,451318
2020,6,661275,96671,757946
2020,7,1207341,186585,1393926
2020,8,1790563,305996,2096559
2020,9,1821096,310443,2131539
2020,10,2697096,404841,3101937
2020,11,2588575,541487,3130062
2020,12,2669353,716900,3386253
2020,TOTAL,29981082,7863899,37844981
2021,1,2272605,628443,2901048
2021,2,2208159,NA,NA
2021,3,3434860,NA,NA
2021,4,3745481,NA,NA
2021,TOTAL,11661105,628443,2901048
